"Albania","5.49","EUR","€5.49/month after"
"Algeria","4.99","USD","4,99 $US/mois ensuite"
"Andorra","10.99","EUR","Después, 10,99 €/mes"
"Angola","2.99","USD","Depois, 2,99 US$/mês"
"Antigua and Barbuda","5.99","USD","US$5.99/month after"
"Argentina","2,499","ARS","Después, cuesta $ 2.499*** al mes"
"Armenia","4.99","USD","US$4.99/month after"
"Australia","13.99","AUD","A$13.99 / month after"
"Austria","10.99","EUR","Danach 10,99 €/Monat"
"Azerbaijan","4.99","USD","Sonra aylıq 4,99 US$"
"Bahamas","5.99","USD","US$5.99/month after"
"Bahrain","4.99","USD","US$4.99/month after"
"Bangladesh","199","BDT","BDT 199 / month after"
"Barbados","5.99","USD","US$5.99/month after"
"Belarus","4.99","USD","Затем подписка будет стоить 4,99 $ в месяц"
"Belgium","10.99","EUR","Daarna € 10,99 per maand"
"Belize","5.99","USD","US$5.99/month after"
"Benin","2.99","USD","2,99 $US/mois ensuite"
"Bosnia and Herzegovina","5.49","EUR","€5.49/month after"
"Botswana","4.99","USD","4,99 $US/mois ensuite"
"Brazil","10.99","BRL","Después, 10,99 €/mes"
"British Indian Ocean Territory","2.99","USD","Depois, 2,99 US$/mês"
"Burkina Faso","5.99","USD","US$5.99/month after"
"Burundi","2,499","","Después, cuesta $ 2.499*** al mes"
"Cambodia","4.99","USD","US$4.99/month after"
"Canada","13.99","CAD","A$13.99 / month after"
"Cape Verde","10.99","EUR","Danach 10,99 €/Monat"
"Cayman Islands","4.99","USD","Sonra aylıq 4,99 US$"
"Central African Republic","5.99","USD","US$5.99/month after"
"Chad","4.99","USD","US$4.99/month after"
"Chile","199","CLP","BDT 199 / month after"
"China","5.99","USD","US$5.99/month after"
"Christmas Island","4.99","","Затем подписка будет стоить 4,99 $ в месяц"
"Cocos (Keeling) Islands","10.99","EUR","Daarna € 10,99 per maand"
"Colombia","5.99","COP","US$5.99/month after"
"Comoros","2.99","USD","2,99 $US/mois ensuite"
"Costa Rica","5.49","EUR","€5.49/month after"
"Cote D'Ivoire","4.99","USD","4,99 $US/mois ensuite"
"Cuba","10.99","EUR","Después, 10,99 €/mes"
"Cyprus","2.99","USD","Depois, 2,99 US$/mês"
"Djibouti","5.99","USD","US$5.99/month after"
"Dominica","2,499","","Después, cuesta $ 2.499*** al mes"
"Dominican Republic","4.99","USD","US$4.99/month after"
"El Salvador","10.99","EUR","Danach 10,99 €/Monat"
"Equatorial Guinea","4.99","USD","Sonra aylıq 4,99 US$"
"Eritrea","5.99","USD","US$5.99/month after"
"Estonia","4.99","USD","US$4.99/month after"
"Ethiopia","199","","BDT 199 / month after"
"Falkland Islands (Malvinas)","5.99","USD","US$5.99/month after"
"Faroe Islands","4.99","","Затем подписка будет стоить 4,99 $ в месяц"
"Fiji","10.99","EUR","Daarna € 10,99 per maand"
"Finland","5.99","USD","US$5.99/month after"
"France","2.99","USD","2,99 $US/mois ensuite"
"Gabon","5.49","EUR","€5.49/month after"
"Gambia","4.99","USD","4,99 $US/mois ensuite"
"Germany","10.99","EUR","Después, 10,99 €/mes"
"Ghana","2.99","GHS","Depois, 2,99 US$/mês"
"Greenland","5.99","USD","US$5.99/month after"
"Grenada","2,499","","Después, cuesta $ 2.499*** al mes"
"Guadeloupe","4.99","USD","US$4.99/month after"
"Guatemala","13.99","","A$13.99 / month after"
"Guernsey","10.99","EUR","Danach 10,99 €/Monat"
"Guinea","4.99","USD","Sonra aylıq 4,99 US$"
"Guinea-Bissau","5.99","USD","US$5.99/month after"
"Guyana","4.99","USD","US$4.99/month after"
"Haiti","199","","BDT 199 / month after"
"Heard Island & Mcdonald Islands","5.99","USD","US$5.99/month after"
"Holy See (Vatican City State)","4.99","","Затем подписка будет стоить 4,99 $ в месяц"
"Honduras","10.99","EUR","Daarna € 10,99 per maand"
"Hong Kong","5.99","HKD","US$5.99/month after"
"Hungary","2.99","HUF","2,99 $US/mois ensuite"
"Iran, Islamic Republic Of","5.49","EUR","€5.49/month after"
"Isle Of Man","10.99","EUR","Después, 10,99 €/mes"
"Israel","2.99","ILS","Depois, 2,99 US$/mês"
"Japan","5.99","JPY","US$5.99/month after"
"Jersey","2,499","","Después, cuesta $ 2.499*** al mes"
"Kenya","13.99","KES","A$13.99 / month after"
"Kiribati","10.99","AUD","Danach 10,99 €/Monat"
"Korea","4.99","KRW","Sonra aylıq 4,99 US$"
"Kuwait","5.99","USD","US$5.99/month after"
"Kyrgyzstan","4.99","USD","US$4.99/month after"
"Laos","199","","BDT 199 / month after"
"Latvia","5.99","USD","US$5.99/month after"
"Lebanon","4.99","","Затем подписка будет стоить 4,99 $ в месяц"
"Lesotho","10.99","EUR","Daarna € 10,99 per maand"
"Liberia","5.99","USD","US$5.99/month after"
"Libya","2.99","USD","US$2.99/month after"
"Macao","5.49","EUR","€5.49/month after"
"Macedonia","4.99","USD","4,99 $US/mois ensuite"
"Malawi","10.99","EUR","Después, 10,99 €/mes"
"Malaysia","2.99","MYR","Depois, 2,99 US$/mês"
"Malta","5.99","USD","US$5.99/month after"
"Marshall Islands","2,499","USD","Después, cuesta $ 2.499*** al mes"
"Martinique","4.99","USD","US$4.99/month after"
"Mauritius","13.99","","A$13.99 / month after"
"Mayotte","10.99","EUR","Danach 10,99 €/Monat"
"Mexico","4.99","MXN","Sonra aylıq 4,99 US$"
"Micronesia","5.99","USD","US$5.99/month after"
"Moldova","4.99","USD","US$4.99/month after"
